Experiment Name,Position,SampleName,ASO Microsynth ID,Exp,Test plate #
ASO1-95_MT_1.2-6_20210630,G10,Ionis1375651_10_P1.2-1,Ionis1375651_10_P1.2-1,1.2745606273192631,1.0
ASO1-95_MT_1.2-6_20210630,G11,Ionis1375651_10_P1.2-1,Ionis1375651_10_P1.2-1,0.3895822898302503,1.0
ASO1-95_MT_1.2-6_20210630,G12,Ionis1375651_10_P1.2-1,Ionis1375651_10_P1.2-1,0.1528300347115087,1.0
ASO1-95_MT_1.2-6_20210630,H10,Ionis1375651_10_P1.2-1,Ionis1375651_10_P1.2-1,0.4569157251147008,1.0
ASO1-95_MT_1.2-6_20210630,H11,Ionis1375651_10_P1.2-1,Ionis1375651_10_P1.2-1,0.4061261981781178,1.0
ASO1-95_MT_1.2-6_20210630,H12,Ionis1375651_10_P1.2-1,Ionis1375651_10_P1.2-1,0.411795508633787,1.0
ASO1-95_total_1.2-6_20210630,G10,Ionis1375651_10_P1.2-1,Ionis1375651_10_P1.2-1,0.1415287118573874,1.0
ASO1-95_total_1.2-6_20210630,G11,Ionis1375651_10_P1.2-1,Ionis1375651_10_P1.2-1,0.1386160930844567,1.0
ASO1-95_total_1.2-6_20210630,G12,Ionis1375651_10_P1.2-1,Ionis1375651_10_P1.2-1,0.1435043790502694,1.0
ASO1-95_total_1.2-6_20210630,H10,Ionis1375651_10_P1.2-1,Ionis1375651_10_P1.2-1,0.3920655176064202,1.0
ASO1-95_total_1.2-6_20210630,H11,Ionis1375651_10_P1.2-1,Ionis1375651_10_P1.2-1,0.4202054173461174,1.0
ASO1-95_total_1.2-6_20210630,H12,Ionis1375651_10_P1.2-1,Ionis1375651_10_P1.2-1,0.3658100627707452,1.0
ASO1-95_WT_1.2-6_20210630,G10,Ionis1375651_10_P1.2-1,Ionis1375651_10_P1.2-1,0.2641019148252981,1.0
ASO1-95_WT_1.2-6_20210630,G11,Ionis1375651_10_P1.2-1,Ionis1375651_10_P1.2-1,0.2696512574591176,1.0
ASO1-95_WT_1.2-6_20210630,G12,Ionis1375651_10_P1.2-1,Ionis1375651_10_P1.2-1,0.2622776296435549,1.0
ASO1-95_WT_1.2-6_20210630,H10,Ionis1375651_10_P1.2-1,Ionis1375651_10_P1.2-1,0.8700478587731243,1.0
